Location,Analysis,Sample type,Host,Rock,Sample name,Na2O,MgO,Al2O3,SiO2,K2O,CaO,TiO2,MnO,FeO tot,Total,Cu
Bingham Canyon,15Ja12f08,MI in olivine,Olivine,Melanephelinite,Bing2 MI1 oliv3 16µm ***,5.68,16.55,9.67,40.65,5.07,11.17,0.86,0.14,10.21,100,226.71
Bingham Canyon,15Ja12f09,MI in olivine,Olivine,Melanephelinite,Bing2 MI2 oliv3 18µm ***,5.24,16.44,9.68,39.68,4.81,11.81,0.78,0.15,11.41,100,169.34
Bingham Canyon,15Ja12f11,MI in olivine,Olivine,Melanephelinite,Bing2 MI oliv4 40µm *,5.77,15.63,9.38,43.65,5.17,10.84,0.8,0.11,8.65,100,156.72
Bingham Canyon,15Ja12f15,MI in olivine,Olivine,Melanephelinite,Bing2 MI oliv5 23µm ***,6.11,16.52,12.18,40.14,6.02,12.55,1.01,0.14,5.35,100,282.42
Bingham Canyon,15Ja12g04,MI in olivine,Olivine,Melanephelinite,Bing1 MI oliv2 25µm ***,4.79,16.2,8.29,42.41,4.19,9.52,0.78,0.22,13.61,100,151.21
Bingham Canyon,15Ja12g06,MI in olivine,Olivine,Melanephelinite,Bing1 MI oliv3 27µm ***,6.47,15.91,11.27,43.1,5.76,8.08,1.07,0.13,8.21,100,61.62
Bingham Canyon,15Ja12g08,MI in olivine,Olivine,Melanephelinite,Bing1 MI oliv4 25µm ***,5.4,14.74,9.41,45.05,4.42,9.25,0.83,0.18,10.72,100,158.37
Bingham Canyon,15Ja12g10,MI in olivine,Olivine,Melanephelinite,Bing3 MI oliv1 20µm ***,6.1,14.62,11.07,45.19,5.05,12.79,1,0.09,4.09,100,185.76
Bingham Canyon,15Ja12g14,MI in olivine,Olivine,Melanephelinite,Bing3 MI oliv2 23µm ***,5.41,15.7,8.05,43.53,4.38,10.02,0.65,0.33,11.95,100,145.5
Bingham Canyon,15Ja14b05,MI in olivine,Olivine,Melanephelinite,Bing3 MI oliv13 35µm ***,5.74,16.36,11.11,39.39,5.58,11.79,0.75,0.13,9.13,100,149.49
Bingham Canyon,15Ja13b10,MI in olivine,Olivine,Melanephelinite,Bing2 MI oliv9 20µm ***,,16.41,11.39,41.73,,,,,8.47,,172.76
Bingham Canyon,15Ja13b14,MI in olivine,Olivine,Melanephelinite,Bing1 MI oliv5 35µm ***,,16.42,8.08,41.61,,,,,13.89,,157.53
Bingham Canyon,15Ja14c04,MI in olivine,Olivine,Melanephelinite,Bing1 MI oliv9 60µm ***,,15.6,9.58,43.66,,,,,11.16,,125.35
Bingham Canyon,15Ja13b16,MI in olivine,Olivine,Melanephelinite,Bing1 MI oliv6 50µm *,,16.5,12.2,41.25,,,,,10.05,,244.83
Bingham Canyon,15Ja13c04,MI in olivine,Olivine,Melanephelinite,Bing3 MI oliv3 30µm **,,16.18,10.33,42.46,,,,,8.02,,215.49
Bingham Canyon,15Ja13f04,MI in olivine,Olivine,Melanephelinite,Bing4 MI oliv2 15µm ***,,5.16,12.49,50.31,,,,,17.04,,142.02
Bingham Canyon,15Ja14b09,MI in plagioclase,Plagioclase,Pyroxene-latite,Bing19 MI plag1 22µm ***,5.16,0.37,17.47,68.83,3.93,2.2,0.26,0.03,1.75,100,1546.82
Bingham Canyon,15Ja14b11,MI in plagioclase,Plagioclase,Pyroxene-latite,Bing19 MI1 plag2 18µm ***,6.57,0.27,16.56,70.63,2.92,1.62,0.19,0.02,1.23,100,955.45
Bingham Canyon,15Ja14b12,MI in plagioclase,Plagioclase,Pyroxene-latite,Bing19 MI2 plag2 21µm ***,5.57,0.24,14.91,72.37,3.13,2.38,0.16,0.02,1.23,100,400.93
Bingham Canyon,15Ja14b16,MI in plagioclase,Plagioclase,Pyroxene-latite,Bing19 MI2 plag3 18µm ***,3.64,0.42,16.85,70.23,3.96,2.51,0.28,0.03,2.08,100,1181.21
Bingham Canyon,15Ja14c06,MI in plagioclase,Plagioclase,Pyroxene-latite,Bing19 MI3 plag2 20µm ***,,0.45,16.57,69.97,,,,,2.01,,1275.21
Bingham Canyon,15Ja14c07,MI in plagioclase,Plagioclase,Pyroxene-latite,Bing19 MI4 plag2 20µm ***,,0.55,17.08,68.95,,,,,2.42,,1313.94
Bingham Canyon,15Ja14c11,MI in plagioclase,Plagioclase,Pyroxene-latite,Bing19 MI3 plag3 32µm ***,,0.79,17.26,67.14,,,,,3.8,,408.94
Bingham Canyon,15Ja14c13,MI in plagioclase,Plagioclase,Pyroxene-latite,Bing19 MI4 plag3 22µm ***,,0.35,16.24,71.03,,,,,1.38,,122.54
Bingham Canyon,15Ja13d10,MI in quartz,Quartz,Step Mt. Andesite,Bing6 MI1 qtz 25µm **,4.55,0.24,14.7,72.58,5.92,0.44,0.14,0.03,1.39,100,12.55
Bingham Canyon,15Ja13d12,MI in quartz,Quartz,Step Mt. Andesite,Bing6 MI2 qtz 23µm ***,5.06,0.11,14.7,72.17,5.53,1.5,0.17,0.03,0.72,100,9
Bingham Canyon,15Ja13d14,MI in quartz,Quartz,Step Mt. Andesite,Bing6 MI3 qtz 20µm ***,3.12,0.2,14.7,72.82,6.99,1.25,0.14,0.03,0.77,100,27.3
Bingham Canyon,15Ja13f08,MI in quartz,Quartz,Step Mt. Andesite,Bing6 MI4 qtz 25µm **,,0.09,14.7,72.47,,,,,0.74,,4.53
Bingham Canyon,15Ja13f09,MI in quartz,Quartz,Step Mt. Andesite,Bing6 MI5 qtz 28µm **,,0.28,14.7,71.53,,,,,1.5,,18.67
Bingham Canyon,15Ja13d18,MI in plagioclase,Plagioclase,Step Mt. Andesite,Bing6 MI2 plag1 28µm ***,4.47,0.07,14.85,74.09,4.87,0.96,0.11,0.02,0.55,100,83.33
Bingham Canyon,15Ja13e06,MI in plagioclase,Plagioclase,Step Mt. Andesite,Bing6 MI1 plag2 28µm **,4.17,0.05,15.06,74.54,4.05,1.42,0.11,0.02,0.57,100,4.63
Bingham Canyon,15Ja13e08,MI in plagioclase,Plagioclase,Step Mt. Andesite,Bing6 MI1 plag3 35µm ***,2.95,0.07,12.91,74.37,8.51,0.53,0.1,0.02,0.57,100,142.5
